words,rater1,rater2,rater3
aardvark',n,n,A
about',n,n,N
abracadabra',n,e,A
abuse',a,e,A
affair',a,e,A
affection',e,e,E
afraid',e,e,E
aint',n,n,N
alchemy',n,n,A
alive',e,e,E
alliteration',n,n,N
america',n,n,N
amnesty',n,n,E
annoyed',e,e,E
antithesis',n,n,N
anxiety',e,e,E
anxious',e,e,E
apple',n,n,N
applesauce',n,n,N
arbitrary',n,n,N
arthropod',n,n,N
ass',n,e,N
asshole',e,e,N
astronaut',n,e,A
asystole',n,a,N
autonomy',a,e,A
awareness',e,a,E
awesome',e,e,E
axiom',n,n,N
baby',n,n,A
bamboozle',a,a,N
banana',n,n,N
bananas',n,n,N
banquet',n,n,A
baseball',n,n,A
bathroom',n,n,N
because',n,n,N
beer',n,n,N
beg',a,e,A
believe',a,e,E
bifocals',n,n,N
bigotry',a,e,A
billa',n,n,N
binary',n,n,N
biological',n,a,N
biology',n,a,N
bitch',n,e,N
black',n,n,N
bling',n,n,N
blood',n,n,N
blue',n,e,N
bologna',n,n,N
bootylicious',n,e,N
born',n,a,E
boulevard',n,n,N
brain',n,a,N
breakfast',n,n,E
brotherhood',n,e,A
bullshit',n,e,N
bumpkin',n,n,N
butt',n,n,N
cacophony',n,a,N
cake',n,e,N
candy',n,e,N
captcha',n,a,N
care',n,e,A
caress',n,e,A
caring',n,e,A
cat',n,n,A
caterpillar',n,n,A
cauliflower',n,n,N
cheese',n,n,N
childbirth',n,a,A
childhood',n,e,E
chill',n,e,E
choice',a,a,A
choose',a,e,A
chrysanthemum',n,n,N
clemency',a,e,N
cock',n,e,N
cockroach',n,e,A
coexist',a,a,A
communicate',a,a,A
companionship',e,e,A
compassion',e,e,A
compassionate',e,e,A
computer',n,n,N
conscience',e,e,E
consciousness',e,e,E
consequently',n,n,N
considerable',n,n,A
convict',n,n,A
court',n,n,N
crayon',n,n,N
creativity',a,e,A
cry',e,e,A
culture',a,a,N
cunt',n,e,N
damn',n,e,N
death',e,a,E
decide',a,e,A
deliciousness',e,e,E
depression',e,e,E
desire',e,e,E
diarrhea',n,n,E
dick',n,e,N
dictionary',n,n,N
die',e,a,E
dignity',e,e,A
dinosaur',n,n,A
diplomatic',a,n,A
direction',n,n,N
dog',n,n,A
doh',n,n,E
dredd',n,n,N
duck',n,n,A
dystopia',n,e,N
eat',n,a,A
ebonics',n,n,N
eccentric',a,e,A
emoticon',n,e,A
emotion',e,e,E
emotional',e,e,E
emotionally',e,e,E
emotions',e,e,E
empathy',e,e,E
encyclopedia',n,n,N
endanger',n,e,A
enlightened',a,e,N
err',a,a,A
error',n,a,A
ethereal',n,n,N
excitement',e,e,E
existentialism',a,a,N
facetious',a,e,N
fail',a,a,A
fair',a,e,A
faith',a,e,E
falafel',n,n,N
false',n,a,N
family',n,e,N
fart',n,n,A
farts',n,n,A
fate',n,e,N
fear',e,e,E
feeling',e,e,E
feelings',e,e,E
fellatio',n,a,A
ferret',n,n,A
filibuster',n,a,A
flesh',n,n,E
food',n,n,E
forgive',a,e,A
forgiveness',a,e,A
forgot',a,a,E
fortitude',e,e,E
free',a,e,E
freedom',a,e,E
friend',a,e,E
friendship',a,e,E
frightened',e,e,E
fuck',n,e,N
funky',n,e,N
garden',n,n,N
genuine',n,a,N
ginormous',n,n,N
girl',n,n,A
go',n,n,A
god',n,e,A
google',n,n,N
gratitude',e,e,E
grief',e,e,E
groovy',n,e,E
ham',n,n,N
hamburger',n,n,N
happiness',e,e,E
happy',e,e,E
hashtag',n,n,N
hate',n,e,A
hatred',e,e,A
heart',n,e,N
heartache',e,e,E
heartbeat',n,n,E
heartbreak',e,e,E
heartfelt',e,e,E
heaven',n,e,N
hello',n,n,A
help',n,e,A
helpful',a,e,A
hitler',n,n,N
home',n,e,N
honey',n,e,N
hope',e,e,E
hopeful',e,e,E
huh',n,n,N
human',n,n,A
humanism',a,e,N
humanitarian',a,e,N
humanity',a,n,N
humor',a,e,N
hungry',e,a,E
hypoxia',n,a,N
illuminate',n,a,N
imagination',e,e,A
inconceivable',n,e,N
individuality',a,e,A
inevitable',n,e,E
injustice',a,e,E
institutional',n,n,N
intelligibility',n,a,E
jello',n,n,N
jesus',n,e,A
judgement',a,e,A
justice',a,e,N
juxtaposition',n,a,N
karma',n,e,A
kidney',n,n,N
kind',n,e,A
kitten',n,n,A
lamp',n,n,N
laughing',n,e,E
lexicon',n,a,N
life',n,a,A
like',n,e,A
literally',n,n,N
live',e,a,A
lol',n,e,A
loquacious',n,a,N
love',e,e,E
