,age,gender,words
1,29,1,emotion
2,33,2,love
4,34,2,personality
5,44,1,thinking
6,33,2,sacred
7,32,1,moist
8,26,2,swanky
9,23,1,love
10,27,1,testicles
12,27,2,faith
13,37,1,frightened
14,34,1,family
15,23,2,humanity
16,32,2,empathy
17,28,1,penis
19,25,1,bamboozle
22,46,1,justice
23,35,1,compassion
24,31,1,family
25,29,1,faith
26,22,2,love
27,22,1,compassion
28,26,2,love
29,35,2,emotion
30,64,2,love
32,22,2,compassion
34,30,1,imagination
35,24,1,fuck
36,33,1,human
37,33,1,ferret
38,25,1,pizza
39,35,2,happiness
41,28,2,love
42,43,2,life
43,26,1,trust
45,29,2,why
46,23,1,fart
47,23,2,apple
48,33,2,love
49,28,1,butt
51,19,1,terminator
53,32,2,flesh
54,55,1,mercy
55,27,1,emotional
56,27,1,love
57,32,1,love
59,19,2,genuine
60,28,2,robot
61,24,1,robot
62,43,2,love
63,30,2,superficial
64,25,2,human
65,45,2,pudding
66,22,1,love
67,24,1,love
68,26,2,please
69,25,2,selfie
70,31,2,philanthropy
71,24,3,random
72,36,1,cauliflower
73,25,1,bootylicious
74,26,2,sunset
75,29,1,blood
76,25,1,please
78,27,1,paradox
79,23,2,bootylicious
81,53,2,smile
82,43,2,dog
83,28,1,supercalifragilisticexpialidocious
84,25,2,excitement
85,21,1,obese
86,23,2,hashtag
87,26,2,please
88,48,1,existentialism
89,42,2,human
90,31,1,shit
91,54,2,orc
92,68,1,religion
93,28,1,selfie
94,54,2,think
95,40,2,ebonics
96,33,2,please
97,28,1,tweet
98,29,2,yahweh
99,25,1,laughing
100,30,1,direction
101,52,2,anxiety
102,32,1,love
103,24,2,life
104,23,1,emotion
105,22,1,hypoxia
106,20,1,vivid
107,63,2,passion
108,35,1,empathy
109,52,2,feelings
111,30,2,hope
113,23,1,selfie
114,29,2,love
115,34,1,oops
116,55,2,soul
117,24,1,poop
118,27,1,popcorn
119,23,1,dog
120,59,1,pie
121,32,2,diarrhea
124,28,1,please
125,22,1,thought
126,25,1,mercy
127,38,2,family
129,42,1,love
130,30,1,humanity
131,22,1,baby
132,26,2,plinko
133,65,2,individuality
134,25,1,love
135,43,2,love
136,30,1,love
137,63,1,love
138,28,1,heartfelt
139,31,1,love
140,23,1,forgiveness
141,66,2,soul
142,24,2,trucking
143,26,1,penis
144,27,1,chill
145,29,2,help
146,29,2,heartache
147,33,1,encyclopedia
149,26,1,shorty
150,40,1,pray
151,38,1,penis
152,39,1,beg
153,29,2,snowman
154,36,2,feelings
155,32,1,cat
156,21,2,rage
157,40,2,fortitude
158,35,1,pudding
159,30,1,heart
160,40,1,poop
161,51,2,feelings
162,37,1,human
163,31,1,feeling
164,25,1,love
166,26,2,dog
167,36,1,hopeful
168,51,1,jesus
169,28,2,heart
170,24,1,penis
171,31,1,love
172,36,3,compassion
173,50,2,empathy
174,23,1,poop
176,28,1,caterpillar
177,24,1,pain
178,29,2,go
179,23,2,me
180,24,1,thesaurus
181,23,2,crayon
182,24,1,selfie
183,29,2,passion
184,31,2,love
185,18,2,affection
186,43,1,life
187,29,1,hope
188,30,1,love
189,30,2,true
190,32,1,metamorphosis
191,49,1,me
192,24,2,sensitivity
193,22,1,love
194,43,1,morality
195,32,1,love
197,35,1,sex
198,48,2,compassion
200,27,1,love
201,30,1,love
202,49,2,considerable
203,49,2,about
204,35,2,karma
205,30,2,love
206,37,1,god
207,34,2,jesus
208,22,1,forgot
210,21,1,mercy
212,30,1,moist
213,43,1,water
214,19,1,emotion
215,39,1,sadness
216,28,1,hungry
217,21,2,human
218,31,2,cacophony
219,33,1,baseball
220,28,1,please
221,29,1,supercalifragilisticexpialidocious
222,42,2,love
223,42,2,love
224,44,1,love
225,45,2,compassion
240,36,1,blowjob
241,29,1,compassion
242,47,2,heart
243,45,2,compassion
244,22,1,murder
245,27,2,me
246,25,2,afraid
247,26,1,love
249,28,1,noob
250,33,1,hello
251,25,1,empathy
252,30,2,love
253,37,2,love
254,26,1,choice
255,34,1,blue
256,38,1,compassion
257,44,1,ridiculous
259,25,3,hope
260,27,1,superfluous
261,21,2,garden
262,36,2,sunshine
263,28,1,death
264,31,2,consciousness
265,24,2,caring
267,29,2,banana
268,32,2,justice
269,22,1,vagina
271,30,1,pain
272,23,2,love
273,30,1,potato
274,32,1,taco
276,62,1,anxious
277,54,1,compassion
279,28,2,soul
280,26,2,inevitable
281,23,1,compassion
282,27,1,culture
283,25,1,love
284,33,1,mommy
285,25,1,spiritual
287,33,2,thoughtfulness
288,20,1,please
289,32,2,puppy
291,43,1,help
292,47,2,besties
293,23,2,marshmallow
294,22,1,freedom
295,56,2,love
296,23,1,me
297,30,2,pontificate
298,50,1,communicate
299,24,1,human
300,25,2,life
301,42,2,gratitude
302,20,2,love
303,37,2,succumb
304,28,2,bananas
307,25,1,antidisestablishmentarianism
308,33,1,faith
309,45,1,supercalifragilisticexpialidocious
310,34,2,mercy
311,31,1,organic
312,39,1,prayer
314,27,2,brain
315,21,2,caress
316,25,2,monkey
317,36,1,freedom
319,34,2,nose
320,46,1,scintillating
322,26,1,honey
323,25,1,google
324,23,2,feelings
325,30,1,the
326,23,2,polite
327,43,2,decide
329,30,1,ain't
330,35,1,please
331,23,2,emotion
332,28,2,love
333,47,2,robot
334,28,1,lamp
336,28,2,home
338,29,2,mercy
339,36,2,love
340,27,1,banana
341,23,1,robot
342,23,1,baseball
343,23,1,intelligibility
344,59,2,homosapiens
346,32,1,pain
347,28,2,love
348,27,1,life
349,21,1,emotion
350,24,1,toy
351,23,2,antidisestablishmentarianism
352,55,2,scared
353,34,1,why
354,35,2,love
355,23,1,breakfast
357,25,1,dredd
360,26,2,filibuster
361,47,1,me
362,32,2,selfie
363,35,2,otaku
364,31,1,love
365,23,1,love
366,33,2,love
367,32,1,cunt
368,25,1,empathy
369,63,1,sex
370,60,2,jesus
371,25,1,humor
373,32,1,compassionate
374,72,2,friendship
376,24,1,human
377,38,1,potatoes
381,30,1,antidisestablishmentarianism
382,29,2,heart
383,30,1,alive
384,31,2,pajamas
385,35,2,falafel
386,25,1,honorificabilitudinitatibus
387,51,1,fart
389,31,1,shit
390,32,1,onomatopoeia
391,32,2,unicorn
392,32,2,outside
393,27,1,man
395,28,1,yolo
396,27,2,empathy
397,27,2,thing
398,54,1,think
399,32,2,happiness
400,24,1,selfie
401,32,1,helpful
402,25,1,robot
403,30,1,amnesty
404,24,2,thanks
405,30,2,worthy
406,54,2,family
407,22,1,human
408,29,2,faith
409,26,1,jello
411,21,1,empathy
412,59,2,god
413,20,1,fuck
414,38,1,swagger
415,35,1,zebra
416,24,2,autonomy
417,27,1,mercy
418,23,1,retard
421,22,1,love
422,26,2,love
423,40,1,brain
424,22,1,court
425,74,2,hope
426,21,2,pizza
427,27,1,pancake
428,50,2,cry
429,26,1,human
430,22,2,love
431,21,1,mommy
432,24,2,human
434,50,2,kind
435,31,1,please
436,25,2,penis
437,39,1,life
438,29,1,smurf
439,56,2,love
440,28,1,poop-shoot
441,29,1,sasquatch
442,23,1,congradulations
443,19,1,emotion
444,28,2,awesome
446,34,2,friend
447,26,1,shit
448,34,2,humanity
449,35,1,sentience
450,36,1,fate
451,24,1,hungry
452,58,1,emotion
453,37,2,love
454,33,1,apophenia
455,42,1,love
456,24,1,die
457,25,1,mother
458,31,2,please
459,36,2,frienemie
462,22,1,ridiculous
463,25,1,resonance
464,22,2,dinosaur
465,47,2,ectasy
466,20,1,shitty
467,30,2,cunt
468,27,2,ain't
469,22,1,bathroom
470,23,2,facetious
471,22,2,lol
472,29,1,love
473,24,2,feelings
474,23,1,sex
475,36,2,love
476,29,1,love
477,56,2,love
478,28,1,compassion
479,18,1,love
480,30,1,marijuana
483,27,2,desire
484,26,2,human
485,44,1,inconceivable
486,31,1,swagger
487,29,2,sympathy
488,27,1,love
489,28,1,love
490,25,2,dog
491,23,2,pulchritudinous
492,23,1,love
493,29,1,poop
494,33,2,the
495,20,1,pgionahagr
498,35,1,pizza
499,61,1,damn
500,22,1,feelings
501,31,1,human
502,24,2,suffering
503,26,1,fart
504,25,2,arbitrary
505,20,1,farts
506,19,1,compassion
507,57,2,human
508,22,1,aardvark
509,32,2,penguin
510,29,2,humanity
511,33,2,y'all
512,27,2,precise
514,22,1,succinct
515,49,1,blood
516,39,2,aint
517,21,1,love
519,30,1,hatred
521,28,1,sketch
522,26,1,spud
525,30,1,titties
526,30,1,ubelievable
528,21,1,loquacious
529,39,2,me
530,47,2,compassion
531,36,2,childbirth
532,22,2,ethereal
533,20,2,axiom
534,23,2,perception
535,33,1,computer
536,45,2,compassion
537,24,1,robot
538,27,1,humanitarian
539,35,2,heaven
540,21,2,lust
541,26,2,love
543,34,2,love
544,52,2,person
545,51,2,love
546,30,2,family
547,39,1,xylophone
548,26,1,compassion
549,27,1,shit
550,25,1,fuck
551,27,2,dictionary
552,35,1,horseshit
553,36,2,asshole
554,28,1,swift
555,39,1,kitten
556,39,1,robot
557,28,1,ain't
559,23,2,shenanigans
560,24,2,asshole
561,41,1,the
562,20,1,motherfucker
564,35,1,compassion
568,28,1,aardvark
569,31,2,like
570,25,1,empathy
571,33,2,please
572,28,1,please
573,35,1,human
574,20,1,arthropod
575,34,2,banana
576,18,1,compassion
577,42,2,supercalafragilisticexpealodocious
578,36,2,help
581,27,1,primordial
582,26,2,titmouse
583,33,1,emotion
584,20,2,cockroach
585,54,1,emotionally
586,43,1,fair
587,29,2,hamburger
588,32,1,justice
589,21,2,human
590,30,1,injustice
596,22,1,binary
597,21,1,mercy
598,22,1,please
599,28,1,lexicon
600,29,1,hitler
601,20,1,sex
602,50,1,annoyed
603,23,1,orthodontic
604,44,1,kidney
605,25,1,selfie
606,22,2,literally
608,23,2,girl
609,31,1,smegma
619,28,1,freedom
620,57,2,compassion
621,23,1,illuminate
628,47,1,what
631,36,2,love
633,42,2,emotional
634,28,1,human
639,21,2,robot
641,28,1,painter
642,23,2,frightened
643,57,2,emotion
644,29,1,billa
646,25,1,live
647,25,1,human
649,24,1,soul
650,27,1,love
653,25,1,biology
654,50,2,empathy
655,26,1,applesauce
659,20,1,love
663,25,2,meme
665,46,1,jesus
