,wordChosen,catch1,catch2,gender,age,wordPair
1,8,human,robot,2,26,8|7
2,6,human,robot,2,29,6|3
3,5,human,robot,2,26,9|5
4,9,human,robot,1,33,9|2
5,6,human,robot,1,32,7|6
7,5,human,robot,1,22,5|6
8,5,human,robot,1,29,6|5
9,10,human,smart robot,1,59,10|2
10,7,human,robot,2,39,2|7
11,10,human,robot,1,19,9|10
12,5,Human,Robot,1,27,10|5
14,4,human,smart robot,1,28,4|5
15,7,human,smart robot,1,36,5|7
17,8,human,robot,1,28,2|8
18,8,HUMAN,ROBOT,2,33,8|2
20,10,human,robot,1,64,3|10
22,5,human,robot,2,47,2|5
24,6,human,robot,1,28,6|2
25,5,human,robot,2,53,5|2
26,4,human,robot,2,31,9|4
27,5,human,robot,1,46,5|8
28,10,Human,Robot,2,20,2|10
29,1,human,robot,2,58,1|4
30,3,human,robot,2,34,7|3
31,4,human and the robot,robot,2,41,4|3
32,10,human,robot,2,41,8|10
33,9,human.,robot.,2,47,9|3
34,5,human,smart robot,1,41,7|5
35,3,human,robot,1,23,3|4
36,1,human,robot,1,21,1|6
38,1,human,robot,2,28,5|1
39,9,human,robot,1,27,3|9
40,4,human,robot,1,23,4|2
43,1,human,robot,2,28,9|1
44,7,human,robot,1,31,7|2
46,7,human,robot,2,28,1|7
47,1,human,robot,1,28,1|9
48,1,human,robot,2,55,4|1
49,9,human,robot,2,24,9|8
50,4,human,smart robot,1,34,7|4
51,1,human,robot,2,32,1|5
52,4,Human,Robot,2,24,4|10
53,3,Human,Robot,1,20,3|6
54,3,Human,Robot,2,31,2|3
55,8,human,robot,2,28,1|8
56,9,human,robot,2,24,2|9
57,5,human,robot,1,50,5|9
59,10,human,robot,2,29,10|3
60,6,human,robot,1,26,8|6
61,5,human,robot,2,31,3|5
62,4,human,robot,1,23,10|4
63,2,Human,Robot,1,26,2|4
64,2,human,smart robot,1,23,2|6
66,6,human,robot,1,34,6|4
67,1,human,robot,1,45,6|1
69,10,human,robot,1,27,1|10
70,6,human,robot,2,56,10|6
71,1,human,robot,1,19,8|1
72,4,human,robot,2,31,8|4
73,5,human,robot,2,27,8|5
77,4,human,robot,1,44,4|7
78,7,human,robot ,1,22,9|7
79,7,human.,robot.,1,35,8|7
80,10,Human,Robot,1,29,10|2
81,5,HUMAN,ROBOT,2,24,5|7
82,9,human,robot,1,25,10|9
83,7,human,robot,2,36,7|4
84,4,human,robot,1,29,10|4
86,7,human and robot,robot,2,35,7|6
87,1,human,a robot,1,44,9|1
88,6,HUMAN,ROBOT,2,59,1|6
89,1,human,robot,1,33,5|1
90,2,human,robot,1,30,2|5
92,2,human ,robot,2,36,2|4
93,3,Human,robot,2,20,6|3
96,3,human,smart robot,1,33,8|3
97,9,human,robot,1,28,4|9
98,6,human,robot,1,38,9|6
103,1,human,robot,2,26,10|1
104,6,human,robot,1,20,6|2
118,3,human,robot,1,34,3|5
