words,majority
abuse,a
affair,a
affection,e
afraid,e
alive,e
annoyed,e
anxiety,e
anxious,e
asshole,e
autonomy,a
awareness,e
awesome,e
bamboozle,a
beg,a
believe,e
bigotry,a
childbirth,a
childhood,e
chill,e
choice,a
choose,a
coexist,a
communicate,a
companionship,e
compassion,e
compassionate,e
conscience,e
consciousness,e
creativity,a
cry,e
culture,a
death,e
decide,a
deliciousness,e
depression,e
desire,e
die,e
dignity,e
diplomatic,a
eat,a
eccentric,a
emotion,e
emotional,e
emotionally,e
emotions,e
empathy,e
err,a
error,a
excitement,e
existentialism,a
fail,a
fair,a
faith,e
fear,e
feeling,e
feelings,e
fellatio,a
filibuster,a
forgive,a
forgiveness,a
forgot,a
fortitude,e
free,e
freedom,e
friend,e
friendship,e
frightened,e
gratitude,e
grief,e
groovy,e
happiness,e
happy,e
hatred,e
heartache,e
heartbreak,e
heartfelt,e
helpful,a
hope,e
hopeful,e
hungry,e
imagination,e
individuality,a
inevitable,e
injustice,e
judgement,a
laughing,e
life,a
live,a
love,e
lust,e
mercy,e
morality,e
mortal,e
pain,e
passion,e
perception,e
person,a
personality,e
polite,a
pontificate,a
rage,e
reason,a
reasoning,a
religion,e
sadness,e
salvation,e
scared,e
sensitivity,e
sentience,e
soft,e
soul,e
spiritual,e
suffering,e
sympathy,e
talk,a
think,a
thinking,a
thought,a
thoughtfulness,a
tired,e
vivid,e
worthy,e
